V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q77,Consent,Timing_1,Timing_2,Timing_3,Timing_4,rmq_1,rmq_2,rmq_3,rmq_4,rmq_5,rmq_6,rmq_7,rmq_8,Timing_1,Timing_2,Timing_3,Timing_4,rmq_9,rmq_10,rmq_11,rmq_12,rmq_13,rmq_14,rmq_15,rmq_16,Timing_1,Timing_2,Timing_3,Timing_4,rmq_17,rmq_18,rmq_19,rmq_20,rmq_21,rmq_22,rmq_23,rmq_24,Timing_1,Timing_2,Timing_3,Timing_4,rmq_25,rmq_26,rmq_27,rmq_28,rmq_29,rmq_30,Timing_1,Timing_2,Timing_3,Timing_4,rfq_1,rfq_2,rfq_3,rfq_4,rfq_5,rfq_6,rfq_7,rfq_8,rfq_9,rfq_10,rfq_11,rfq_x1,rfq_x2,rfq_x3,rfq_x4,Timing_1,Timing_2,Timing_3,Timing_4,Afraid_1,Afraid_2,Afraid_3,Afraid_4,Afraid_5,Afraid_6,Angry_1,Angry_2,Angry_3,Angry_4,Angry_5,Angry_6,Guilty_1,Guilty_2,Guilty_3,Guilty_4,Guilty_5,Guilty_6,Sad_1,Sad_2,Sad_3,Sad_4,Sad_5,Happy_1,Happy_2,Happy_3,Happy_4,Happy_5,Happy_6,Happy_7,Happy_8,Proud_1,Proud_2,Proud_3,Proud_4,Proud_5,Alert_1,Alert_2,Alert_3,Alert_4,Shy_1,Shy_2,Shy_3,Shy_4,Sleepy_1,Sleepy_2,Sleepy_3,Sleepy_4,Calm_1,Calm_2,Calm_3,Amazed_1,Amazed_2,Amazed_3,Dejected_1,Dejected_2,Dejected_3,Dejected_4,Dejected_5,Hopeful_1,Hopeful_2,Hopeful_3,Hopeful_4,Anxious_1,Anxious_2,Anxious_3,Anxious_4,Anxious_5,Anxious_6,Peaceful_1,Peaceful_2,Frustrated_1,Frustrated_2,Frustrated_3,Frustrated_4,Frustrated_5,Frustrated_6,Frustrated_7,Frustrated_8,Virtuous_1,Virtuous_2,Virtuous_3,Virtuous_4,Virtuous_5,Virtuous_6,Virtuous_7,Virtuous_8,Virtuous_9,Directions,attn1,attn2,attn3,Timing_1,Timing_2,Timing_3,Timing_4,Age ,Gender,Ethnic,Ethnic_TEXT,Education,Education_TEXT,Timing_1,Timing_2,Timing_3,Timing_4,Relation,Timing_1,Timing_2,Timing_3,Timing_4,Job,Timing_1,Timing_2,Timing_3,Timing_4,Language,Timing_1,Timing_2,Timing_3,Timing_4,Proficient,Timing_1,Timing_2,Timing_3,Timing_4,I.D,DO-BR-FL_10,DO-BL-emo,DO-Q-Afraid,DO-Q-Guilty,DO-Q-Angry,DO-Q-Sad,DO-Q-Happy,DO-Q-Proud,DO-Q-Alert,DO-Q-Shy,DO-Q-Sleepy,DO-Q-Calm,DO-Q-Amazed,DO-Q-Dejected,DO-Q-Hopeful,DO-Q-Anxious,DO-Q-Peaceful,DO-Q-Frustrated,DO-Q-Virtuous,LocationLatitude,LocationLongitude,LocationAccuracy
R_C1xXCxvOebFeU4V,Default Response Set,Anonymous,,,98.220.88.107,0,11/2/15 15:11,11/2/15 15:19,1,1,2,6.603,6.603,7.486,1,6,1,3,6,6,6,6,3,7.607,29.696,30.895,8,5,2,6,1,1,1,2,5,4.198,27.449,28.296,8,1,2,6,6,6,3,1,3,4.813,23.663,24.861,9,5,1,1,2,3,5,3.897,21.345,22.185,6,4,1,2,4,5,4,5,1,4,2,2,,,,,10.925,54.042,55.108,12,6,6,5,6,5,4,3,2,5,1,3,1,4,2,5,5,2,5,4,4,5,4,4,4,1,3,2,3,5,5,3,3,2,3,2,3,5,7,7,6,2,2,2,2,4,4,4,4,3,2,2,4,3,3,2,4,4,4,5,2,2,3,1,6,6,5,5,6,4,2,2,5,2,3,2,4,2,5,2,4,1,2,5,2,5,5,6,4,1,emotion,emotion,emotion,7.643,7.643,20.711,1,41,2,4,,4,,1.583,9.003,10.449,5,4,2.72,2.72,4.089,1,Retail sales,1.227,1.227,9.915,1,English,4.127,4.127,5.895,1,1,3.312,3.312,4.579,1,A1E5EGG6LH0LQ2,rfq|rmq,Dejected|Alert|Sleepy|Angry|Amazed|Afraid|Proud|Anxious|Peaceful|Sad|Calm|Frustrated|Shy|Guilty|Happy|Virtuous|Hopeful,6|1|2|5|4|3,4|3|2|5|1|6,3|2|1|4|5|6,4|2|1|5|3,5|4|8|2|1|6|3|7,3|2|4|5|1,3|4|1|2,4|1|2|3,1|4|2|3,1|2|3,1|2|3,5|4|2|3|1,4|3|1|2,2|5|1|6|3|4,1|2,3|5|1|7|6|4|8|2,6|8|7|2|3|5|1|9|4,42.25289917,-89.08070374,-1
R_rqoSNVibHRLDhMl,Default Response Set,Anonymous,,,69.4.132.250,0,11/2/15 15:11,11/2/15 15:20,1,1,2,5.023,5.023,5.946,1,4,5,1,5,3,2,2,3,5.994,32.07,33.516,8,2,6,2,1,4,1,2,5,2.544,36.357,37.699,11,2,3,1,1,2,1,1,4,2.473,32.235,33.952,14,2,2,5,3,3,1,9.311,24.547,27.481,6,1,3,3,3,2,3,4,3,2,4,1,,,,,4.434,42.241,44.353,13,2,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,3,3,2,2,2,1,2,6,5,5,6,5,5,5,4,4,5,6,4,4,5,5,5,5,1,1,1,1,3,3,4,3,6,6,6,4,5,4,1,2,1,1,2,5,4,6,6,2,3,2,2,1,3,5,5,2,2,3,1,2,6,3,1,2,3,3,6,6,5,5,6,5,1,emotion,emotion,emotion,10.317,10.695,28.654,2,54,2,4,,3,,1.48,9.604,11.851,4,1,1.81,1.81,3.452,1,exercise rider,1.137,1.137,10.036,1,english,1.296,1.752,6.55,2,1,1.946,1.946,3.289,1,A3IX7NEE8OBXE5,rmq|rfq,Shy|Angry|Proud|Sad|Calm|Amazed|Hopeful|Guilty|Happy|Afraid|Frustrated|Sleepy|Peaceful|Alert|Virtuous|Anxious|Dejected,1|6|5|2|3|4,2|3|6|5|4|1,5|3|2|1|4|6,5|3|2|1|4,2|4|7|1|8|5|3|6,1|5|2|4|3,2|1|4|3,2|4|1|3,3|1|4|2,3|1|2,1|3|2,2|5|1|3|4,2|3|4|1,2|3|6|4|1|5,2|1,3|2|4|7|1|6|5|8,9|8|7|6|2|5|1|3|4,38.78430176,-121.3706055,-1
R_27JtzERXPd4ViwP,Default Response Set,Anonymous,,,73.166.127.142,0,11/2/15 15:11,11/2/15 15:20,1,1,2,3.595,3.595,4.92,1,5,6,3,4,4,4,5,5,3.38,33.019,33.877,9,2,3,5,1,3,2,5,5,4.678,50.706,51.94,10,5,2,5,4,4,5,1,3,5.512,28.303,29.925,8,5,2,2,5,4,3,4.515,27.381,28.526,6,2,2,4,4,5,3,4,1,1,4,1,,,,,19.776,61.446,62.55,12,1,1,1,1,1,1,4,2,4,4,4,4,1,1,2,3,1,4,2,1,2,2,2,5,2,4,5,4,5,4,5,3,3,4,3,3,6,6,5,6,1,1,1,1,3,2,2,2,6,6,6,2,3,2,1,1,1,1,2,5,3,6,4,1,1,1,2,1,2,4,4,4,3,4,2,3,3,2,2,3,2,6,5,6,6,6,5,6,1,emotion,emotion,emotion,11.192,11.192,22.525,1,48,2,4,,3,,1.486,9.508,10.776,4,4,2.42,2.42,3.882,1,business co-owner,1.163,1.163,9.132,1,english,1.216,1.216,7.604,1,1,3.028,3.028,4.585,1,AJMR7CVNYNIWD,rfq|rmq,Hopeful|Peaceful|Frustrated|Proud|Shy|Sleepy|Sad|Afraid|Amazed|Angry|Guilty|Anxious|Dejected|Alert|Virtuous|Happy|Calm,4|3|6|5|1|2,2|4|5|6|1|3,2|6|1|4|3|5,3|2|1|4|5,7|4|2|1|3|8|6|5,1|2|4|5|3,3|2|1|4,4|1|2|3,2|3|4|1,2|3|1,1|3|2,2|1|4|5|3,3|2|4|1,1|5|6|4|3|2,2|1,1|2|6|8|3|5|4|7,4|8|2|9|1|5|6|7|3,29.98779297,-95.65499878,-1
R_2vjLbhyE9LjUyZc,Default Response Set,Anonymous,,,70.199.141.104,0,11/2/15 15:08,11/2/15 15:20,1,1,2,8.354,62.452,64.074,4,5,2,1,5,4,3,2,4,9.722,37.007,38.011,8,3,4,5,1,2,1,3,4,3.702,43.706,44.87,9,2,2,3,4,3,3,1,2,8.553,35.06,37.159,10,3,2,2,4,4,2,13.908,38.068,39.098,6,3,2,4,3,3,3,4,3,3,4,1,,,,,4.884,55.519,56.746,14,1,1,1,3,1,2,4,2,4,1,2,1,1,1,1,3,1,3,3,3,3,2,2,6,6,6,6,5,5,5,4,3,4,4,4,3,5,5,5,6,1,2,2,2,4,4,3,3,4,4,4,5,3,4,2,4,1,3,4,4,4,6,6,2,4,3,3,1,2,4,4,4,3,2,1,3,1,3,2,4,2,3,6,6,6,5,6,6,1,every once in awhile,rarely ,all the time,4.311,52.581,57.444,9,33,2,4,,3,,2.194,9.509,11.199,5,4,2.234,2.234,3.583,1,homemaker,1.248,1.248,4.769,1,english,2.203,2.203,5.5,1,1,2.513,2.513,4.294,1,A9JU83ODLZ74O,rmq|rfq,Afraid|Calm|Virtuous|Sleepy|Sad|Peaceful|Guilty|Shy|Amazed|Alert|Happy|Dejected|Frustrated|Anxious|Hopeful|Proud|Angry,4|3|5|2|6|1,4|6|1|5|2|3,2|1|5|4|3|6,4|5|1|3|2,5|1|7|3|6|4|8|2,3|2|1|4|5,1|4|3|2,3|4|2|1,3|2|4|1,2|1|3,2|1|3,1|2|4|3|5,3|4|2|1,1|2|6|5|3|4,1|2,1|3|4|8|6|2|5|7,3|7|8|9|2|1|5|6|4,47.74769592,-122.2043991,-1
R_r9dzbTXw1r2ioz7,Default Response Set,Anonymous,,,70.210.51.198,0,11/2/15 15:13,11/2/15 15:20,1,1,2,9.708,9.708,10.673,1,6,1,2,5,4,2,1,3,3.786,23.314,24.209,8,5,1,6,1,3,3,6,5,6.76,25.518,26.642,8,2,1,4,6,5,6,1,4,3.519,16.997,17.785,8,6,1,1,5,3,3,5.103,20.385,21.43,6,5,2,4,3,5,1,5,2,5,3,1,,,,,8.186,44.336,45.56,13,2,2,1,3,2,1,4,2,2,3,3,2,2,2,2,3,2,4,4,4,4,5,5,5,5,4,4,3,4,4,3,3,1,1,1,1,5,5,4,4,6,7,4,5,6,5,6,6,5,6,6,1,2,2,2,3,2,3,3,6,2,5,6,3,3,3,3,2,2,6,6,4,2,3,2,3,4,2,2,6,1,3,4,6,4,5,6,6,1,emotion,emotion,emotion,16.694,16.694,31.789,1,30,1,4,,3,,4.906,11.586,13.453,6,4,1.799,1.799,2.967,1,contstuction,1.38,1.38,10.488,1,english,0.987,0.987,5.989,1,1,1.621,1.621,2.504,1,A3MJ62V5ISVSL5,rfq|rmq,Shy|Peaceful|Hopeful|Calm|Angry|Anxious|Sleepy|Virtuous|Frustrated|Dejected|Amazed|Proud|Happy|Sad|Alert|Guilty|Afraid,5|3|6|2|1|4,3|1|4|5|2|6,6|4|3|2|5|1,2|4|3|5|1,8|5|7|1|6|2|3|4,4|3|2|1|5,4|3|2|1,2|3|4|1,2|4|3|1,3|2|1,1|2|3,2|3|4|5|1,2|3|4|1,1|2|3|5|4|6,1|2,3|4|1|2|8|5|7|6,7|4|3|8|2|5|9|6|1,35.96369934,-83.92019653,-1
R_zSuhwVhn7M1IRax,Default Response Set,Anonymous,,,50.190.210.103,0,11/2/15 15:14,11/2/15 15:20,1,1,2,1.331,4.424,5.156,2,6,4,4,5,5,3,3,5,4.003,30.297,31.213,10,4,3,5,1,2,5,4,4,4.063,29.115,30.129,8,5,2,5,5,4,4,1,1,4.215,22.245,23.213,8,5,1,1,5,5,5,21.299,37.244,38.016,6,1,4,4,3,3,3,4,3,3,3,1,,,,,5.876,19.903,21.017,11,2,2,2,3,2,2,3,3,3,3,3,3,1,1,1,1,1,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,4,4,3,4,4,4,4,5,4,5,1,1,1,1,1,6,6,6,6,4,3,4,3,3,3,3,3,3,2,3,1,2,2,1,2,7,6,6,6,6,7,6,7,7,1,emotion,emotion,emotion,8.701,16.615,19.58,4,39,1,4,,6,,1.113,8.231,9.847,4,4,1.77,1.77,2.9,1,teacher,1.5,1.5,5.077,1,english,0.935,0.935,6.692,1,1,2.922,2.922,4.226,1,A3CIPCU2JPBHLJ,rmq|rfq,Guilty|Anxious|Virtuous|Hopeful|Angry|Amazed|Sad|Shy|Alert|Sleepy|Peaceful|Happy|Proud|Dejected|Calm|Afraid|Frustrated,4|1|5|3|2|6,2|1|3|4|6|5,4|2|6|1|5|3,2|3|5|1|4,8|1|2|7|5|4|3|6,5|1|3|4|2,4|1|3|2,3|1|4|2,1|4|2|3,2|1|3,2|1|3,5|1|3|4|2,2|4|1|3,2|4|5|6|1|3,1|2,5|3|8|1|7|2|6|4,5|7|4|2|8|6|3|1|9,39.02740479,-77.2365036,-1
R_12FqR20lhgNJ6s3,Default Response Set,Anonymous,,,65.88.88.48,0,11/2/15 15:10,11/2/15 15:21,1,1,2,9.392,9.392,10.896,1,4,1,2,5,4,6,4,3,5.009,38.287,39.446,8,6,4,5,2,4,1,5,4,3.136,158.524,159.39,8,3,2,5,6,3,2,1,4,5.741,28.719,30.559,9,2,1,1,4,3,5,5.454,25.807,26.666,6,4,3,3,4,4,3,2,4,5,2,3,,,,,3.969,46.659,48.11,11,2,2,1,5,4,1,4,4,5,3,4,5,3,3,2,6,5,5,4,5,5,5,3,3,2,4,4,3,4,3,4,4,4,3,2,3,5,4,6,4,5,5,6,5,4,5,6,5,5,2,4,3,4,2,6,6,5,7,4,3,1,4,2,6,5,4,6,5,5,4,3,4,5,5,4,5,6,5,3,5,2,2,3,5,4,3,4,6,1,emotion,emotion,emotion,6.256,6.256,15.688,1,31,1,4,,3,,1.481,7.61,9.625,4,1,1.598,1.598,2.853,1,Carpenter,1.217,1.217,5.471,1,English,1.141,1.141,4.75,1,1,2.52,2.52,3.711,1,A3PGP8BIE31CZ5,rfq|rmq,Proud|Shy|Dejected|Happy|Alert|Guilty|Sleepy|Frustrated|Amazed|Sad|Virtuous|Calm|Angry|Anxious|Hopeful|Peaceful|Afraid,5|3|1|2|6|4,4|1|6|2|3|5,6|4|5|1|2|3,4|2|3|1|5,5|2|8|4|7|3|6|1,3|1|5|2|4,1|2|4|3,4|1|3|2,3|2|4|1,3|1|2,1|2|3,4|1|3|5|2,2|1|4|3,6|1|3|5|2|4,2|1,5|4|2|6|1|3|8|7,8|2|5|7|1|3|6|4|9,40.83740234,-73.92230225,-1
R_20Ms2MHAcIO2ePg,Default Response Set,Anonymous,,,74.138.164.236,0,11/2/15 15:14,11/2/15 15:21,1,1,2,2.978,4.033,4.957,3,5,3,3,5,5,4,3,4,9.34,31.124,31.934,8,4,5,3,2,3,2,2,5,2.86,31.669,32.542,8,3,3,3,3,4,2,3,4,2.041,29.369,29.808,11,5,3,2,5,4,2,3.782,21.649,22.484,7,4,2,4,4,5,2,4,3,2,4,2,,,,,4.489,43.571,44.529,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,2,2,5,5,5,4,4,4,2,2,2,2,2,6,6,6,6,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,1,emotion,emotion,emotion,13.259,19.762,22.5,8,34,2,4,,3,,1.095,6.295,7.924,4,4,1.764,1.764,2.718,1,Homemaker,1.14,1.14,11.197,1,English,0.976,0.976,4.74,1,1,1.289,1.289,2.586,1,A21ZMR7O42OSMI,rmq|rfq,Anxious|Hopeful|Sad|Dejected|Sleepy|Happy|Calm|Amazed|Frustrated|Guilty|Proud|Alert|Peaceful|Afraid|Virtuous|Shy|Angry,6|3|5|1|4|2,4|3|2|6|1|5,1|2|3|6|5|4,4|5|3|2|1,8|7|1|3|5|6|4|2,3|5|4|2|1,3|1|2|4,3|2|4|1,1|3|2|4,3|1|2,1|3|2,5|4|2|1|3,3|1|2|4,1|3|6|2|4|5,1|2,8|1|6|3|7|4|2|5,1|5|4|3|6|2|8|7|9,37.854599,-85.89610291,-1
R_3kvu4Lo6O1PfyYY,Default Response Set,Anonymous,,,198.255.145.106,0,11/2/15 15:14,11/2/15 15:21,1,1,2,1.985,5.904,7.452,2,5,4,4,5,5,3,4,4,2.85,21.833,24.148,10,3,4,4,1,4,1,2,4,5.935,52.451,53.786,13,5,4,2,2,4,2,2,2,2.532,17.841,19.265,8,3,1,5,5,4,4,6.098,18.685,19.826,6,1,4,4,4,2,4,4,3,2,4,2,,,,,2.899,27.731,28.653,13,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,4,5,5,3,4,4,4,5,4,5,4,4,5,5,5,5,1,1,1,1,4,4,4,4,6,6,6,3,2,2,1,1,1,2,2,4,4,5,5,2,1,3,2,1,1,5,5,1,1,4,1,1,4,1,1,4,4,5,4,6,5,6,5,5,1,emotion,emotion,emotion,9.54,23.63,24.917,10,32,1,4,,3,,3.242,10.927,11.936,5,1,1.379,1.379,2.808,1,sales rep,1.114,1.114,5.185,1,english,1.743,1.743,5.191,1,1,1.833,1.833,2.925,1,AI73488LTDOU0,rmq|rfq,Sad|Hopeful|Virtuous|Frustrated|Peaceful|Proud|Calm|Shy|Amazed|Guilty|Happy|Dejected|Anxious|Angry|Afraid|Alert|Sleepy,5|2|1|3|6|4,5|1|4|2|6|3,1|2|6|5|4|3,5|1|3|4|2,7|1|4|5|3|2|6|8,3|2|5|1|4,1|2|3|4,3|2|4|1,3|4|2|1,2|1|3,2|1|3,5|1|2|4|3,1|2|4|3,2|5|3|6|1|4,2|1,8|3|5|4|6|1|7|2,4|9|2|6|3|1|5|8|7,42.19619751,-75.8884964,-1
R_2Yst7qm9nwa0abS,Default Response Set,Anonymous,,,104.9.143.25,0,11/2/15 15:10,11/2/15 15:21,1,1,1,4.248,4.248,6.484,1,5,5,5,4,6,5,4,5,17.033,21.706,24.211,10,4,5,5,5,3,4,5,4,34.541,45.245,49.313,8,6,5,4,4,5,6,4,5,7.835,18.478,20.718,8,5,5,5,3,4,4,2.437,8.235,13.599,6,4,4,4,4,3,4,4,2,3,4,3,,,,,11.822,26.777,31.691,12,2,1,5,5,5,4,5,5,5,3,6,5,1,3,3,4,2,4,4,3,3,3,3,6,7,6,6,7,6,6,6,5,7,7,5,5,7,6,5,6,6,2,2,2,5,6,5,6,7,7,7,5,7,7,2,1,1,4,3,5,2,4,7,6,6,6,6,5,6,5,3,5,5,4,4,5,5,5,4,6,6,6,4,6,4,6,6,3,1,emotion,emotion,emotion,4.264,33.879,55.863,9,31,2,7,,3,,1.869,8.947,11.799,4,2,3.323,3.323,5.07,1,Self Employeed,1.593,1.593,12.877,1,english,1.678,1.678,6.612,1,1,3.105,4.728,5.663,2,AVJUIF9QHQRY8,rmq|rfq,Dejected|Guilty|Shy|Peaceful|Hopeful|Happy|Calm|Virtuous|Angry|Sad|Alert|Sleepy|Frustrated|Afraid|Proud|Anxious|Amazed,1|3|4|5|2|6,5|1|2|3|6|4,1|4|3|6|2|5,5|2|4|1|3,2|6|5|8|3|4|1|7,5|1|4|3|2,3|2|4|1,1|2|3|4,3|1|2|4,3|1|2,1|3|2,3|5|1|2|4,3|2|1|4,6|1|2|3|4|5,1|2,5|8|1|4|2|7|3|6,5|2|3|9|4|1|7|8|6,38.18800354,-85.83650208,-1
R_3P5LuvyieeOQFGi,Default Response Set,Anonymous,,,174.106.208.255,0,11/2/15 15:10,11/2/15 15:22,1,1,2,4.689,4.689,5.865,1,5,3,2,5,4,3,4,4,9.752,116.653,117.606,8,4,4,4,1,3,4,4,4,8.17,45.17,46.256,9,3,3,5,4,4,4,2,3,19.608,47.153,48.193,8,4,2,3,4,3,4,6.317,28.869,30.34,6,2,2,3,3,4,4,3,2,3,3,3,,,,,10.38,69.818,70.736,11,3,3,3,4,4,4,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,3,2,5,5,5,4,5,5,4,5,5,5,5,3,3,5,5,5,5,2,2,2,2,4,4,4,4,5,5,5,4,4,4,3,2,3,3,4,4,4,4,4,4,4,5,4,3,5,4,4,3,2,3,2,2,2,2,1,4,4,4,4,5,5,5,4,5,1,emotion,emotion,emotion,16.536,16.536,38.932,1,61,2,4,,2,,1.73,12.026,13.994,4,4,3.507,3.507,4.737,1,office,1.938,1.938,6.86,1,english,1.804,1.804,6.761,1,1,2.821,2.821,4.308,1, A369K7I5SXBPNC,rfq|rmq,Calm|Guilty|Amazed|Afraid|Hopeful|Frustrated|Dejected|Virtuous|Alert|Happy|Proud|Sleepy|Angry|Anxious|Sad|Shy|Peaceful,4|6|1|5|3|2,2|4|6|5|3|1,4|2|3|5|1|6,4|5|3|1|2,6|4|7|1|8|5|3|2,5|4|2|3|1,1|3|4|2,2|3|4|1,1|2|4|3,2|3|1,1|2|3,4|5|1|3|2,1|4|3|2,1|2|4|5|3|6,2|1,4|8|7|6|5|2|3|1,8|3|2|1|4|7|6|5|9,34.90080261,-76.82620239,-1
R_1CBCJV5GQP3iyJO,Default Response Set,Anonymous,,,68.45.56.237,0,11/2/15 15:15,11/2/15 15:22,1,1,2,3.692,3.692,4.4,1,5,5,5,5,5,2,4,5,7.137,40.735,41.576,9,2,2,2,2,2,6,2,5,3.541,23.697,24.688,8,3,3,2,2,4,2,2,4,10.38,37.355,38.298,8,4,1,5,6,5,2,4.506,22.376,23.436,8,2,3,3,3,4,3,3,1,1,4,1,,,,,4.198,37.051,37.75,11,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,3,1,1,1,5,4,3,5,4,3,3,2,2,2,5,2,3,5,5,5,3,1,1,1,1,6,6,6,2,6,6,6,2,3,1,1,1,1,1,3,5,3,6,4,1,3,1,1,1,2,6,6,2,4,3,1,1,2,6,3,4,3,3,3,3,4,5,3,4,1,emotion,emotion,emotion,6.982,6.982,15.588,1,52,1,4,,4,,1.159,6.359,7.914,4,4,1.477,3.855,4.946,2,service self employ,1.37,1.37,10.773,1,english,0.77,0.77,4.369,1,1,4.715,4.715,5.793,1,A2UNSF09FWX9S8,rmq|rfq,Frustrated|Angry|Virtuous|Happy|Sleepy|Proud|Afraid|Shy|Guilty|Anxious|Sad|Peaceful|Dejected|Hopeful|Alert|Amazed|Calm,1|5|4|6|2|3,1|4|3|6|2|5,5|4|2|1|3|6,5|1|3|2|4,7|4|5|2|8|1|6|3,4|2|1|3|5,1|2|4|3,4|2|3|1,1|3|2|4,1|3|2,2|3|1,1|5|4|2|3,4|1|2|3,6|4|5|1|3|2,1|2,4|5|3|8|2|7|6|1,7|1|6|8|4|2|3|5|9,39.07899475,-86.61750031,-1
R_2c1mW0ltanrO7hQ,Default Response Set,Anonymous,,,24.220.52.130,0,11/2/15 15:15,11/2/15 15:22,1,1,2,4.393,5.621,6.658,3,6,2,3,6,5,3,4,5,4.831,27.254,27.857,8,4,3,4,1,4,4,5,6,2.568,37.322,37.958,10,4,3,4,4,5,3,1,3,4.605,28.146,29.326,8,6,1,3,6,5,4,2.627,20.296,21.195,7,2,1,5,2,5,1,3,1,3,5,1,,,,,9.585,42.886,43.876,11,1,1,1,1,1,1,2,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,5,5,6,6,6,5,6,4,3,6,7,7,7,2,1,1,1,4,4,3,2,6,6,6,5,4,3,1,1,1,1,3,7,4,6,6,2,4,1,4,1,2,6,6,2,1,3,1,1,2,1,1,4,3,6,4,4,7,7,3,6,1,emotion,emotion,emotion,6.203,6.203,17.724,1,37,2,4,,4,,2.877,8.976,10.691,4,4,1.678,1.678,2.713,1,homemaker,0.957,0.957,4.666,1,english,1.018,1.336,4.299,2,2,2.948,2.948,6.312,1,AA4T7L2N9LNKI,rfq|rmq,Guilty|Anxious|Happy|Proud|Frustrated|Shy|Dejected|Peaceful|Hopeful|Sleepy|Sad|Amazed|Afraid|Virtuous|Calm|Angry|Alert,2|5|3|1|6|4,5|6|4|1|3|2,2|5|4|6|3|1,4|2|1|3|5,3|4|1|5|2|7|8|6,1|4|5|2|3,1|2|3|4,3|1|2|4,2|1|3|4,2|1|3,1|2|3,4|3|2|1|5,4|2|3|1,6|4|1|2|5|3,2|1,7|3|6|8|2|4|5|1,1|2|7|4|5|9|6|8|3,43.7183075,-98.02619934,-1
R_24Cta55oigfUYjp,Default Response Set,Anonymous,,,70.171.129.211,0,11/2/15 15:12,11/2/15 15:22,1,1,2,10.861,10.861,11.819,1,5,3,2,4,4,3,2,4,7.295,39.03,41.051,10,4,5,4,2,5,2,5,4,3.2,54.72,58.13,12,3,3,4,4,4,3,2,2,3.858,28.761,32.674,9,6,1,3,4,5,4,21.967,47.534,51.089,7,3,4,3,4,2,4,3,4,3,3,3,,,,,12.978,63.594,64.442,13,1,1,2,3,1,1,2,2,4,3,2,2,2,2,1,2,2,2,4,3,3,4,4,4,4,3,4,3,3,3,4,1,1,4,1,1,4,4,4,4,3,1,1,3,4,4,3,3,3,4,4,1,1,1,3,3,2,4,3,3,3,4,4,3,4,3,4,2,2,3,3,4,3,3,1,4,4,4,4,4,2,3,4,4,5,5,2,4,1,emotion,emotion,emotion,10.392,13.099,19.976,2,28,1,5,,2,,1.341,10.838,13.455,4,1,1.19,1.19,2.054,1,package handler,0.837,0.837,9.986,1,english,0.891,0.891,6.521,1,1,4.819,4.819,12.985,1,A1K6T4BCZASC50,rfq|rmq,Hopeful|Frustrated|Calm|Dejected|Angry|Sleepy|Anxious|Afraid|Alert|Virtuous|Shy|Proud|Guilty|Sad|Amazed|Peaceful|Happy,6|1|2|4|3|5,1|3|5|4|6|2,4|3|1|2|5|6,2|4|1|3|5,8|2|3|1|6|7|4|5,2|4|3|1|5,2|4|3|1,2|3|1|4,3|4|2|1,3|2|1,1|3|2,2|1|3|5|4,1|3|2|4,5|6|4|2|3|1,2|1,6|5|4|3|2|1|7|8,8|7|1|2|9|6|5|4|3,43.69709778,-114.3516998,-1
R_1oHM0bYWeKClYSh,Default Response Set,Anonymous,,,71.168.68.49,0,11/2/15 15:14,11/2/15 15:23,1,1,2,2.046,3.54,3.832,5,5,2,5,6,5,6,4,6,16.479,32.545,36.378,10,5,3,4,1,1,4,5,5,2.309,19.558,19.862,15,4,1,5,4,5,2,1,1,27.363,45.733,46.733,10,6,1,2,6,5,3,56.802,74.607,74.916,9,1,4,5,4,3,4,4,4,4,5,1,,,,,41.633,78.263,78.972,13,6,6,6,6,6,6,4,4,4,2,3,2,2,2,4,4,2,2,4,4,4,2,2,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,3,5,3,4,4,5,4,4,4,4,4,4,4,4,4,1,4,4,4,6,6,6,5,5,5,4,5,4,5,4,4,2,2,1,1,2,2,2,1,7,5,6,6,6,7,7,6,7,1,emotion,emotion,emotion,1.068,1.068,11.379,1,25,2,4,,3,,0,0,36.15,0,1,0,0,1.558,0,Self-employed,0,0,4.987,0,English,0,0,3.288,0,1,0,0,1.575,0,AVU1N78F92K93,rfq|rmq,Amazed|Hopeful|Sleepy|Virtuous|Peaceful|Frustrated|Dejected|Guilty|Afraid|Sad|Happy|Angry|Proud|Shy|Calm|Alert|Anxious,4|2|1|3|5|6,1|4|2|3|6|5,4|3|5|6|2|1,2|3|4|5|1,3|6|7|2|8|5|1|4,3|2|5|1|4,3|1|2|4,2|3|1|4,3|1|4|2,1|3|2,2|1|3,3|1|2|4|5,3|4|2|1,3|6|4|2|1|5,1|2,6|5|7|3|2|8|1|4,5|3|4|1|8|9|2|6|7,42.79499817,-71.2256012,-1
